population.ID,taxon,species,sex.determination,sex.det.source,birth.sex.ratio,juvenile.sex.ratio,adult.sex.ratio,matur.male,matur.female,mortality.male,mortality.female,N.babies,N.juveniles,N.adults,reference.ID
1,lizards,Acanthodactylus_erythrurus,GSD,species.in.TreeOfSex,,0.579,0.590,1.3,1.3,0.851,0.816,,114,166,1039
3,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.514,,,,,,,37,520
13,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.539,,,,,,,456,524
9,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.620,,,,,,,221,525
10,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.595,,,,,,,79,526
11,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.698,,,,,,,86,526
12,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.413,,,,,,,281,526
4,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.696,,,,,,,102,527
14,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.517,,,,,,,292,528
6,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.529,,,,,,,17,529
2,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.402,4.0,8.0,0.011,0.006,,,241,531
5,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.679,,,,,,,131,532
7,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.841,,,,,,,52,537
8,turtles,Actinemys_marmorata,TSD,species.in.TreeOfSex,,,0.573,,,,,,,82,"518,  519"
15,lizards,Agama_agama,TSD,species.in.TreeOfSex,,,0.453,,,,,,,53,1018
16,lizards,Agama_impalearis,TSD,species.in.TreeOfSex,,0.547,0.614,1.0,1.0,,,,148,277,1019
17,snakes,Agkistrodon_piscivorus,GSD,genus.or.family.in.TreeOfSex,,,0.477,,,,,,,132,208
18,snakes,Agkistrodon_piscivorus,GSD,genus.or.family.in.TreeOfSex,,,,1.9,3.0,,,,,,m8
2032b,turtles,Aldabrachelys_gigantea,TSD,species.in.TreeOfSex,0.486,,0.435,20.0,17.0,,,37,,,"2032, 2033"
2033a,turtles,Aldabrachelys_gigantea,TSD,species.in.TreeOfSex,0.488,,0.365,26.0,23.0,,,43,,,"2032, 2033"
22,crocs,Alligator_mississippiensis,TSD,species.in.TreeOfSex,,0.580,,,,,,,2936,,341
