Table 1
Citation,source,,,,,
6,"Kerr et al. 2005. Caribbean Journal of Science 41, 162-169",,,,,
9,"Ruby 1984. Herpetologica 40, 272-280",,,,,
14,"Fobes et al. 1992. Caribbean Journal of Science 28(3-4), 200-207.",,,,,
18,"Nicholson & Richards 1999. Anolis Newsletter 5, 95-98.",,,,,
20,"Trivers 1976. Evolution 30, 253-269",,,,,
27,"Jenssen 1970. Journal of Herpetology 4, 1-38",,,,,
34,"Joyce et al. 2010. Amphibia-Reptilia 31, 395-401",,,,,
37,"Plummer & Mills 2008. Herpetological Conservation 3, 95-105.",,,,,
39,"Braun-McNille et al. 2007. Herpetologica 63, 275-284",,,,,
40,"Ishihara & Kamezaki 2011. Chelonian Conservation and Biology, 10, 281-287.",,,,,
42,"Tucker & Lamer 2004. Turtle and Tortoise Newsletters 8, 10-11",,,,,
43,"Winchell & Gibbs 2016. Landscape and Urban Planning, 147, 59-70.",,,,,
44,"Ernst 1974. Journal of Herpetology 8, 237-240",,,,,
46,"Gibbons 1968. Copeia 1968, 260-268",,,,,
51,"Platt et al. 2011. Salamandra 47/4, 179-192",,,,,
52,"Platt et al. 2009. Caribbean Journal of Science 45, 80-93",,,,,
53,"Pasachnik et al. 2012. Herpetological Conservation and Biology, 7, 391-398",,,,,
55,"Chen & Lue 1999. Herpetologica, 55, 487-498",,,,,
56,"Alberts et al. 2002. Behav Ecol Sociobiol 51, 324–335",,,,,
61,"Chapple 2006. Australian Journal of Zoology, 53(6), 353-360.",,,,,
62,"Ayaz & Cicek 2011. Herpetozoa 24, 33-41",,,,,
63,"Mosimann & Cadi 2004. Biologia, Bratislava, 59 Suppl. 14, 109-112",,,,,
64,"Rivera & Fernandez 2004. Biologia, Bratislava, 59 Suppl. 14, 161-171",,,,,
67,"Sarre 1998. Journal of Herpetology 32, 153-162",,,,,
68,"Akani & Luiselli 2001. Contributions to Zoology 70(3), 139-146.",,,,,
76,"Gvozdik 2000. Herpetozoa 13, 165 - 169",,,,,
82,"Hin et al. 1991. Sarawak Mus. J. 42, 463-475.",,,,,
89,"Gibbons et al. 2001. Chelonian Conservation and Biology 4, 66-74",,,,,
95,"Brown & Weatherhead, 1999. Canadian Journal of Zoology 77, 1358-1366",,,,,
97,"Bonnet et al. 2002. Austral Ecology 27(4), 442-450.",,,,,
117,"Strijbosch et al. 1980. Amphibia-Reptilia 1, 161-172.",,,,,
118,"Vogrin 1998. Herpetozoa, 11, 13-17.",,,,,
119,"Vogrin 2005. Turkish Journal of Zoology 29/2, 189-191.",,,,,
120,"Bernhard & Vogt 2012. Herpetologica, 68, 491–504",,,,,
122,"Salvador & Veiga 2001. Herpetologica 57, 77-86",,,,,
125,"Ortega-Rubio et al. 1999. Southwestern Naturalist 44, 64-72",,,,,
126,"Gadsden & Estrada-Rodríguez 2008. Western North American Naturalist 68, 46–57",,,,,
