species,F.cm.maxSVL/CL,M.cm.maxSVL/CL,dataset,Notes for exception
Acanthochelys_pallidipectoris,23.5,20.75,Rhodin et al. 1990,
Acanthochelys_radiolata,19.55,17.85,Mocelin et al. 2008,
Acanthophis_antarcticus,43.9,57.9,Greer 1997,
Acanthophis_laevis,43.9,57.9,Greer 1997,
Acanthophis_pyrrhus,43.9,57.9,Greer 1997,
Acanthophis_rugosus,43.9,57.9,Greer 1997,
Acrantophis_madagascariensis,180,300.5,O'Shea 2007,
Agkistrodon_contortrix,66,76,Carey and Judge 2002,
Agkistrodon_taylori,67,96,Carey and Judge 2002,
Amphiesma_stolatum,70,60,Inger et al. 1990,
Anilios_wiedii,23.5,19.6,Greer 1997,
Antaioserpens_warro,29,33.5,De Magalhaes and Costa 2009,
Antaresia_childreni,68.8,71.8,De Magalhaes and Costa 2009,
Antaresia_perthensis,44.9,47.3,De Magalhaes and Costa 2009,
Apalone_ferox,55.1425,29.8625,Meylan and Moler 2006,
Apalone_mutica,35.425,20.9425,Ernst  and Lovich 2009,
Aspidites_melanocephalus,156.1,159.3,Greer 1997,
Aspidites_ramsayi,152.15,158.8,Greer 1997,
Aspidomorphus_lineaticollis,41.3,35,Greer 1997,
Aspidomorphus_muelleri,52.55,53.1,Greer 1997,
Aspidomorphus_schlegelii,50.8,35.9,Greer 1997,
Astrochelys_yniphora,43.05,46.62,Leuteritz 2008,
Austrelaps_labialis,48.4,42.7,Greer 1997,
Austrelaps_ramsayi,73.85,64.1,Greer 1997,
Austrelaps_superbus,78.1,69.7,Greer 1997,
Brachyurophis_australis,22.7,27.5,Greer 1997,
Brachyurophis_fasciolatus,25.8,29.4,Greer 1997,
Brachyurophis_incinctus,24.8,23.3,Greer 1997,
Brachyurophis_roperi,25.5,28.2,Greer 1997,
Brachyurophis_semifasciatus,24.2,27.1,Greer 1997,
Cacophis_harriettae,31.6,42.25,Greer 1997,
Cacophis_krefftii,26.1,29.85,Greer 1997,
Cacophis_squamulosus,39.1,50.65,Greer 1997,
