population.ID,species,Life.Stage,Sex.Ratio,N,sex.determination,SDM.Type,SuperTaxa,model4,Conservative,Citation,Source,sex.det.source
131,Christinus_marmoratus,adult.sex.ratio,0.54,137,GSD,GSD,squamata,GSD,Y,1037,Bokony,species.in.TreeOfSex
132,Christinus_marmoratus,adult.sex.ratio,0.506,83,GSD,GSD,squamata,GSD,Y,1037,Bokony,species.in.TreeOfSex
200,Ctenosaura_bakeri,adult.sex.ratio,0.564,546,GSD,GSD,squamata,GSD,Y,53,Bokony,genus.or.family.in.TreeOfSex
202,Ctenosaura_oedirhina,adult.sex.ratio,0.379,338,GSD,GSD,squamata,GSD,Y,v12,Bokony,genus.or.family.in.TreeOfSex
204,Cyclura_cychlura,adult.sex.ratio,0.529,1074,GSD,GSD,squamata,GSD,Y,v16,Bokony,genus.or.family.in.TreeOfSex
333,Lygosoma_laterale,adult.sex.ratio,0.502,303,GSD,GSD,squamata,GSD,Y,mod9,Bokony,species.in.TreeOfSex
515,Underwoodisaurus_milii,adult.sex.ratio,0.519,79,GSD,GSD,squamata,GSD,Y,1037,Bokony,Pokorn‡ et al (2014) Cyogenetic and genome research
516,Underwoodisaurus_milii,adult.sex.ratio,0.5,30,GSD,GSD,squamata,GSD,Y,1037,Bokony,Pokorn‡ et al (2014) Cyogenetic and genome research
93,Cerberus_schneiderii,adult.sex.ratio,0.51,914,GSD,GSD,squamata,GSD,Y,209,Bokony,genus.or.family.in.TreeOfSex
170,Coluber_constrictor,adult.sex.ratio,0.587,271,GSD,GSD,squamata,GSD,Y,211,Bokony,genus.or.family.in.TreeOfSex
195,Crotalus_horridus,adult.sex.ratio,0.549,705,GSD,GSD,squamata,GSD,Y,"v9, v10",Bokony,genus.or.family.in.TreeOfSex
216,Elaphe_obsoleta,adult.sex.ratio,0.575,153,GSD,GSD,squamata,GSD,Y,v19,Bokony,species.in.TreeOfSex
